Task,Architecture,Threshold,Sensitivity,Specificity
Screening,ConvNeXt-L,0.01,1.0,0.0005216484089723526
Screening,EfficientNet-B0,0.01,0.9646017699115044,0.14241001564945227
Screening,DenseNet201,0.01,1.0,0.0005216484089723526
Screening,Xception,0.01,1.0,0.0005216484089723526
Screening,Swin-T,0.01,1.0,0.0
OA,ConvNeXt-L,0.01,0.9972260748959778,0.23065953654188948
OA,EfficientNet-B0,0.5,0.6629680998613038,0.8370766488413547
OA,DenseNet201,0.01,0.9981507165973186,0.06559714795008913
OA,Xception,0.01,0.9995376791493297,0.024242424242424242
OA,Swin-T,0.01,0.9976883957466481,0.11586452762923351
Severe,ConvNeXt-L,0.01,0.9939172749391727,0.7609744331886156
Severe,EfficientNet-B0,0.5,0.7469586374695864,0.916304872165943
Severe,DenseNet201,0.01,0.9939172749391727,0.3562469850458273
Severe,Xception,0.01,0.9829683698296837,0.5586107091172214
Severe,Swin-T,0.01,0.9963503649635036,0.7074288470815243
